,Number of False Rejection Tests,Number of False Acceptance Tests,False Acceptance Rate,False Rejection Rate
FAML,2.0,42.0,0.3333333333333333,0.0
FDHH,2.0,42.0,0.16666666666666666,0.0
FEAB,2.0,42.0,0.11904761904761904,0.0
FHRO,2.0,42.0,0.047619047619047616,0.0
FJAZ,2.0,0.0,0.0,0.0
FMEL,2.0,0.0,0.0,0.0
FMEV,2.0,42.0,0.14285714285714285,0.0
FSLJ,2.0,42.0,0.023809523809523808,0.0
FTEJ,2.0,42.0,0.023809523809523808,0.0
FUAN,2.0,42.0,0.09523809523809523,0.0
MASM,2.0,42.0,0.35714285714285715,0.0
MCBR,2.0,42.0,0.14285714285714285,0.0
MFKC,0.0,0.0,0.0,0.0
MKBP,2.0,42.0,0.2857142857142857,0.0
MLKH,2.0,42.0,0.14285714285714285,0.0
MMLP,2.0,42.0,0.19047619047619047,0.0
MMNA,2.0,42.0,0.40476190476190477,0.0
MNHP,2.0,42.0,0.5238095238095238,0.0
MOEW,2.0,42.0,0.35714285714285715,0.0
MPRA,2.0,42.0,0.14285714285714285,0.0
MREM,2.0,42.0,0.38095238095238093,0.0
MTLS,2.0,42.0,0.07142857142857142,0.0
