,Number of False Rejection Tests,Number of False Acceptance Tests,False Acceptance Rate,False Rejection Rate
SPEAKER_01,14.0,400.0,0.2,0.0
SPEAKER_02,18.0,396.0,0.1717171717171717,0.0
SPEAKER_02,55.0,359.0,0.0,1.0
SPEAKER_03,17.0,397.0,0.4005037783375315,0.0
SPEAKER_04,40.0,374.0,0.14705882352941177,0.0
SPEAKER_05,8.0,406.0,0.18226600985221675,0.0
SPEAKER_06,34.0,380.0,0.0,0.9705882352941176
SPEAKER_07,64.0,350.0,0.04857142857142857,0.59375
SPEAKER_08,15.0,399.0,0.0,1.0
SPEAKER_09,62.0,352.0,0.0,1.0
SPEAKER_10,11.0,403.0,0.0,0.4545454545454546
SPEAKER_11,10.0,404.0,0.0,0.9
SPEAKER_13,9.0,405.0,0.0,0.6666666666666667
SPEAKER_14,20.0,394.0,0.025380710659898477,0.0
SPEAKER_15,37.0,377.0,0.0,1.0
